label,x,y,z
C_FPH_L_end-A,-5.976924419403076,15.293158531188965,29.90940284729004
C_FPH_L_end-P,-10.567591667175293,-48.90285110473633,18.27483558654785
C_FPH_R_core,10.106771469116211,-13.706701278686523,31.281435012817383
C_FPH_R_end-A,12.108522415161133,23.17633056640625,25.962114334106445
C_FPH_R_end-P,9.669490814208984,-45.85603332519531,19.628286361694336
C_FP_L_core,-8.220051765441895,-2.66148042678833,31.532617568969727
C_FP_L_end-A,-9.651166915893555,25.89844512939453,27.89667510986328
C_FP_L_end-P,-10.295974731445312,-32.554744720458984,33.87776565551758
C_FP_R_core,7.837282180786133,-8.183451652526855,33.46794891357422
C_FP_R_end-A,8.164133071899414,19.040019989013672,28.393892288208008
C_FP_R_end-P,11.413808822631836,-36.347930908203125,33.431148529052734
C_PHP_L_core,-13.101495742797852,-49.54026794433594,12.983572006225586
C_PHP_L_end-I,-19.41992950439453,-30.96687889099121,-14.131093978881836
C_PHP_L_end-S,-13.848180770874023,-63.779930114746094,39.015342712402344
C_PHP_R_core,12.690046310424805,-46.64824676513672,13.148123741149902
C_PHP_R_end-I,20.343978881835938,-28.839466094970703,-14.478076934814453
C_PHP_R_end-S,15.794957160949707,-59.436893463134766,40.01560592651367
C_PH_L_core,-20.44758415222168,-27.585451126098633,-16.88349151611328
C_PH_L_end-I,-23.77367401123047,-19.50370979309082,-26.515932083129883
C_PH_L_end-S,-17.807422637939453,-35.71805191040039,-7.203141212463379
C_PH_R_core,21.980976104736328,-25.3951358795166,-16.90201187133789
C_PH_R_end-I,23.89134407043457,-18.317537307739258,-25.79169273376465
C_PH_R_end-S,20.181150436401367,-32.66988754272461,-8.222957611083984
C_PO_L_core,-5.963153839111328,14.129312515258789,28.28014373779297
C_PO_L_end-A,-7.398610591888428,36.18524169921875,2.4162850379943848
C_PO_L_end-P,-7.010246276855469,-21.303585052490234,33.26423645019531
C_PO_R_core,5.963153839111328,14.129312515258789,28.28014373779297
C_PO_R_end-A,7.398610591888428,36.18524169921875,2.4162850379943848
C_PO_R_end-P,7.010246276855469,-21.303585052490234,33.26423645019531
DRTT_L_core,-15.79658031463623,-7.33901834487915,4.018772602081299
DRTT_L_end-I,-1.1932443380355835,-39.15757751464844,-23.963886260986328
DRTT_L_end-S,-17.845903396606445,4.3350830078125,45.6646614074707
DRTT_R_core,17.219329833984375,-12.322434425354004,4.40487813949585
DRTT_R_end-I,5.5989990234375,-40.19871139526367,-24.37603759765625
DRTT_R_end-S,20.9772891998291,-9.434932708740234,46.604270935058594
EMC_L_core,-29.93930435180664,-26.392107009887695,21.881975173950195
EMC_L_end-I,-35.9599609375,-3.8234121799468994,-3.1532399654388428
EMC_L_end-S,-25.607919692993164,-37.685184478759766,54.263832092285156
EMC_R_core,29.797197341918945,-29.87793731689453,20.574214935302734
EMC_R_end-I,35.69961929321289,-8.319178581237793,-2.0162551403045654
EMC_R_end-S,23.988370895385742,-44.543357849121094,49.255088806152344
FAT_L_core,-27.471155166625977,6.677013874053955,32.06621170043945
FAT_L_end-I,-48.433101654052734,7.779216289520264,16.512367248535156
FAT_L_end-S,-15.506515502929688,12.0680513381958,56.793949127197266
FAT_R_core,26.62274169921875,9.506359100341797,30.582185745239258
FAT_R_end-I,45.73773193359375,12.62913990020752,15.643460273742676
FAT_R_end-S,17.367557525634766,13.068863868713379,54.39435958862305
F_L_core,-8.778932571411133,-27.719823837280273,14.135048866271973
F_L_end-L,-25.193832397460938,-29.611499786376953,-2.8650054931640625
F_L_end-M,-2.017765522003174,-2.773080587387085,5.054553031921387
F_R_core,14.154175758361816,-26.720149993896484,14.92664623260498
F_R_end-L,28.688215255737305,-24.32259750366211,-6.241476058959961
F_R_end-M,2.0523018836975098,-3.3758578300476074,5.214268207550049
IFOF_L_core,-37.57707977294922,-19.648447036743164,-6.535150527954102
IFOF_L_end-A,-23.992586135864258,35.50478744506836,-1.3099486827850342
IFOF_L_end-P,-28.167295455932617,-75.89114379882812,7.677889347076416
IFOF_R_core,36.12657928466797,-14.447396278381348,-7.820734977722168
IFOF_R_end-A,25.00083351135254,35.55851745605469,-1.0933245420455933
IFOF_R_end-P,30.934505462646484,-64.4672622680664,4.500227451324463
ILF_L_core,-37.03112030029297,-48.68743133544922,3.1457886695861816
ILF_L_end-A,-44.09012222290039,-16.577835083007812,-14.581342697143555
